"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1966,47,"Terre Haute","IN","United States","Terre Haute, IN, United States",-87.4139092,39.4667034,"terre haute, in, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"Washington","DC","United States","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa",3,6.38297872340426
"Bob Damron's Address Book",1966,47,"Woonsocket","RI","United States","Woonsocket, RI, United States",-71.5147839,42.0028761,"woonsocket, ri 02895, usa",1,2.12765957446809
"Bob Damron's Address Book",1968,54,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Atlanta","GA","United States","Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"Boston","MA","United States","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Calumet City","IL","United States","Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Chicago","IL","United States","Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"Columbus","OH","United States","Columbus, OH, United States",-82.9987942,39.9611755,"columbus, oh, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Denver","CO","United States","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Garden Grove","CA","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Gardena","CA","United States","Gardena, CA, United States",-118.3089624,33.8883487,"gardena, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Hallandale","FL","United States","Hallandale, FL, United States",-80.148379,25.9812024,"hallandale beach, fl 33009, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Indianapolis","IN","United States","Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"Inglewood","CA","United States","Inglewood, CA, United States",-118.3531311,33.9616801,"inglewood, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Kansas City","MO","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Long Beach","CA","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",13,24.0740740740741
"Bob Damron's Address Book",1968,54,"Miami","FL","United States","Miami, FL, United States",-80.1917902,25.7616798,"miami, fl, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"New Orleans","LA","United States","New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"Norristown","PA","United States","Norristown, PA, United States",-75.3399048,40.121497,"norristown, pa, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Oakland","CA","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Portland","OR","United States","Portland, OR, United States",-122.6783853,45.515232,"portland, or, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Provincetown","MA","United States","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Rochester","NY","United States","Rochester, NY, United States",-77.6088465,43.1565779,"rochester, ny, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"Sacramento","CA","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"San Diego","CA","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"San Francisco","CA","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa",2,3.7037037037037
"Bob Damron's Address Book",1968,54,"San Rafael","CA","United States","San Rafael, CA, United States",-122.5310874,37.9735346,"san rafael, ca, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Seattle","WA","United States","Seattle, WA, United States",-122.3320708,47.6062095,"seattle, wa, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"St. Joseph","MO","United States","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"St. Louis","MO","United States","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"St. Petersburg","FL","United States","St. Petersburg, FL, United States",-82.6402915,27.7676008,"st. petersburg, fl, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Tampa","FL","United States","Tampa, FL, United States",-82.4571776,27.950575,"tampa, fl, usa",1,1.85185185185185
"Bob Damron's Address Book",1968,54,"Washington","DC","United States","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa",1,1.85185185185185
"Bob Damron's Address Book",1969,77,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",5,6.49350649350649
"Bob Damron's Address Book",1969,77,"Boston","MA","United States","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Bridgeport","PA","United States","Bridgeport, PA, United States",-75.3451838,40.1051084,"bridgeport, pa, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Calumet City","IL","United States","Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Chicago","IL","United States","Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Cincinnati","OH","United States","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Colorado Springs","CO","United States","Colorado Springs, CO, United States",-104.8213634,38.8338816,"colorado springs, co, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Columbus","OH","United States","Columbus, OH, United States",-82.9987942,39.9611755,"columbus, oh, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Dallas","TX","United States","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Daytona Beach","FL","United States","Daytona Beach, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Denver","CO","United States","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Detroit","MI","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"Fresno","CA","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Ft. Worth","TX","United States","Ft. Worth, TX, United States",-97.3307658,32.7554883,"fort worth, tx, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Garden Grove","CA","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Gardena","CA","United States","Gardena, CA, United States",-118.3089624,33.8883487,"gardena, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Hallandale","FL","United States","Hallandale, FL, United States",-80.148379,25.9812024,"hallandale beach, fl 33009, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"Houston","TX","United States","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"Indianapolis","IN","United States","Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"Inglewood","CA","United States","Inglewood, CA, United States",-118.3531311,33.9616801,"inglewood, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Kansas City","MO","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Long Beach","CA","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",12,15.5844155844156
"Bob Damron's Address Book",1969,77,"Lynn","MA","United States","Lynn, MA, United States",-70.9494938,42.466763,"lynn, ma, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Memphis","TN","United States","Memphis, TN, United States",-90.0489801,35.1495343,"memphis, tn, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Miami","FL","United States","Miami, FL, United States",-80.1917902,25.7616798,"miami, fl, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",1,1.2987012987013
