City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
Libertyville,IL,United States,Lesbian Support Group,,Community Organization,for Northern IL area; community network; community support,Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Libertyville_IL_United States,-87.95313,42.2830786
Washington,DC,United States,DC/SAGE (Senior Action in a Gay Environment),,Community Organization,"organizing group for older lesbians and gays; asking for members, activists, money, ideas, etc.",Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Washington_DC_United States,-77.036543,38.8950368
Minneapolis,MN,United States,"""Out to Brunch""",,Community Organization,monthly brunches in various locations that serves as networking vehicle for other lesbian organizations and social networking,Letter,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Minneapolis_MN_United States,-93.265469,44.9772995
Orlando,FL,United States,LCN,"""Express""",Community Organization,"local lesbian network; sponsor music, sports, political events; publishes monthly newsletter called ""Express",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Orlando_FL_United States,-81.37903,28.5421109
Walhalla,MI,United States,WWTMC (?),Womyn of Colors Tent,Community Organization,Advertising tent for networking and workshops for women of color at the 1987 Michigan Womyn's Music Festival; offers contact info for the festival at WWTMC,Letter,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Walhalla_MI_United States,-86.114795,43.953619
Mesilla,NM,United States,Matrix,,Community Organization,"group of lesbian feminists in Southern NM and El Paso, TX area; newsletter; social events, discussion groups; desert walks",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Mesilla_NM_United States,-106.79521,32.2741174
Eugene,OR,United States,Lesbian Incest Survivors,,Community Organization,"listed among several groups reportedly located in Eugene, OR in ""Bits and Pieces"" section; more groups listed here but didn't seem like official names of groups",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Eugene_OR_United States,-123.09505,44.0505054
Portland,OR,United States,Lesbian Community Project,,Community Organization,"agenda includes: support for diversity, lesbian political effectiveness, creating a lesbian building, organizing fundraising; send out newsletter",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_OR_United States,-122.67419,45.5202471
Portland,OR,United States,Sister Spirit,,Community Organization,"gathering alternate Sundays for Ritual, drawing from Wiccan, Buddhist, Hindu, other traditions; spirituality",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_OR_United States,-122.67419,45.5202471
Portland,OR,United States,The Lesbian Forum,,Community Organization,addresses different topic every 2nd Tuesday,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_OR_United States,-122.67419,45.5202471
Yakima,WA,United States,Together At Last Lesbians (TALL),,Community Organization,lesbian support group; weekly meetings,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Yakima_WA_United States,-120.51084,46.601557
Greer,SC,United States,Upstate Women's Community,,Community Organization,"community social group that meets once a month for potluck dinner, socializing, dancing, etc.",Letter,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Greer_SC_United States,-82.227212,34.9381361
Cambridge,MA,United States,D Albino,,Community Organization,forming Mount Holyoke university lesbian alumnae network,Advertisement,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Cambridge_MA_United States,-71.105616,42.3750997
St. Louis,MO,United States,Lesbian Friendship & Dating Network,,Community Organization,for women looking to expand support network in greater St. Louis/Illinois area; maybe a correspondence club,Advertisement,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,St. Louis_MO_United States,-90.242876,38.6319657
Bathurst,New South Wales,Australia,Kate Matilda,Earth Dykes,Community Organization,Matilda is contact person for social network of rural lesbians living in Australia that regularly; correspond; extending the invitation to rural lesbians in the US to do the same; correspondence club; bits & piece section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Bathurst_New South Wales_Australia,149.580494,-33.416638
Palm Springs,CA,United States,Alive,Marty and Carol,Community Organization,"lesbian support group that meets monthly; social events, newsletter; bits & pieces section",Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Palm Springs_CA_United States,-116.4953,33.7721794
Riverside,CA,United States,Survivors support group,Marla and Jean,Community Organization,Marla and Jean starting a survivors support group for incest/sexual abuse survivors; bits & pieces section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Riverside_CA_United States,-117.39616,33.9533546
Kahului,HI,United States,Both Sides Now,,Community Organization,gay hotline that lists a lesbian's phone number to call for help and info that could be helpful to women coming to the islands,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Kahului_HI_United States,-156.45299,20.8747708
Durham,NC,United States,Triangle Area Lesbian Feminist (TALF),Mandy Carter,Community Organization,"lesbian community group that meets once a month for potluck at Durham YMCA; also sponsors dances, concerts, annual women campout and travel retreat; bits & pieces section",Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Durham_NC_United States,-78.901805,35.996653
Cincinnati,OH,United States,Simone Rhodes,Partners (bar in Covington),Community Organization,"lesbian singles and support group meet every other week at Simone Rhodes' house, soon to meet at meeting room of ""Partners"" bar in Covington; since 1984; meetings draw two dozen, phone list of 65 lesbians; bits & pieces section",Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Cincinnati_OH_United States,-84.51246,39.1014537
Toledo,OH,United States,Lavender Triangle,,Community Organization,"has womyn only dances ""usually 200+ attending""; social network; bits & pieces section",Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Toledo_OH_United States,-83.537817,41.6529143
Reading,PA,United States,Lambda Alive,,Community Organization,"lesbian and gay social group; monthly events include movies, skating parties, picnics, camping weekends for womyn only, outdoor recreation, travel retreats, workshops, etc.; bits & pieces section",Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Reading_PA_United States,-75.92795,40.335345
Austin,TX,United States,Waterloo Counseling Center,,Community Organization,non-profit agency for lesbians and gay people; mental health services; bits & pieces section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Austin_TX_United States,-97.7437,30.2711286
Houston,TX,United States,Azulao,,Community Organization,social network; bits & pieces section; no address or phone number mentioned,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Houston_TX_United States,-95.367697,29.7589382
Houston,TX,United States,Choices Unlimited,,Community Organization,social network; bits & pieces section; no address or phone number mentioned,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Houston_TX_United States,-95.367697,29.7589382
Louisa,VA,United States,Women-LC,,Community Organization,"Advertising Women's Gathering ""Celebrating Ourselves"" at Twin Oaks Community; concert, camping, workshops, food; sliding scale pricing",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Louisa_VA_United States,-77.948631,37.9854441
Enumclaw,WA,United States,lesbian social group,,Community Organization,"lesbian social group forming, write for info; social network",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Enumclaw_WA_United States,-121.99164,47.2047793
Quincy,MA,United States,Golden Threads,,Community Organization,"Lesbian friendship club, for women over 50 and women interested in older women, social networking, doesn't mention publication, just offers nationwide mailing correspondence",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Quincy_MA_United States,-71.003737,42.2509914
Poughkeepsie,NY,United States,The Stonewall Society,,Community Organization,Notice for group meeting Tuesdays at 8pm at the St. George's School (corner of Montgomery and Carroll Streets. Open specifically for gay people. Event.,Advertisement,Lesbian Connections,2,6,November,1976,https://www.jstor.org/stable/community.28039169?seq=1#metadata_info_tab_contents,Poughkeepsie_NY_United States,-73.928367,41.7065539
Los Angeles,CA,United States,Gay Community Services Center,,Community Organization,"Title: ""Executive Director."" Gay social service agency seeking executive director ($18k/yr)",Request,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Los Angeles_CA_United States,-118.24277,34.0536909
Durham,NC,United States,Wholistic Health Center,,Community Organization,"Title: ""Wholistic Health Center."" Advertised for ""womin"" only.",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Durham_NC_United States,-78.901805,35.996653
Dorchester,MA,United States,Integrity,J Lawrence,Community Organization,"Title: ""Integrity."" International organization of gay Episcopalians producing bi-monthly journal.",Request,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Dorchester_MA_United States,-76.099568,38.3930694
Houston,TX,United States,National March on Washington for Lesbian and Gay Rights,,Community Organization,"Title: ""National March on Washington."" For October 4, 1979.",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Houston_TX_United States,-95.367697,29.7589382
Chicago,IL,United States,Midwest Women's Center,,Community Organization,"Title: ""Illinois Women's Directory."" Directory for Illinois & Northern Indiana.",Directory,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Chicago_IL_United States,-87.624421,41.8755616
Mt. Pleasant,MI,United States,Women's Health and Information Project,,Community Organization,"Title: ""Michigan Directory of Resources Available to Women.""",Directory,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Mt. Pleasant_MI_United States,-84.76685,43.597646
New York,NY,United States,Renaissance House,,Community Organization,"Title: ""Gayellow Pages."" ""NE Edition #1."" For gay men and women.",Directory,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,New York_NY_United States,-74.006015,40.7127281
New York,NY,United States,National Gay Health Coalition,,Community Organization,"Title: ""National Gay Health Care Directory."" Also prints Confronting Homophobia.",Directory,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,New York_NY_United States,-74.006015,40.7127281
East Lansing,MI,United States,Lesbian Connection,,Community Organization,Non profit,Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=24,East Lansing_MI_United States,-84.472168,42.7320307
Columbus,OH,United States,Women's Action Collective,,Community Organization,"Fundraising Project, selling an appointment book",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=8,Columbus_OH_United States,-83.000707,39.9622601
Philadelphia,PA,United States,Mountain Meadow Country Experience,Julie Greenberg,Community Organization,"Feminist summer camp for girls 8-16, a session for ""adult wimmin"" as well, sliding scale fee plus work, also seeking adventurous feminists experienced with young people to join the collective",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Philadelphia_PA_United States,-75.163526,39.9527237
Durham,NC,United States,National Lesbian Confrence,,Community Organization,"160 Lesbians met in Durham NC March 1989 to plan the confrence, decided on Atlanta, GA to have an impact on the city, two more planning meetings planned for Portland, OR and Columbus OH or Chicago, IL. Consensus decison making. Diversity in every committee (age, race, disability, regional), fishbowl exercise addressing racsim to start meeting.",Article,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Durham_NC_United States,-78.901805,35.996653
Albany,NY,United States,National Lesbian Confrence Office,,Community Organization,Contact point for information about the First National Lesbian Confrence and future plannign meetings.,Article,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Albany_NY_United States,-73.754968,42.6511674
Hinsdale,IL,United States,Women Together in Sports,,Community Organization,"Organization to help support lesbian sports leagues and serve as a network and communication hub (after realizing gay sports leagues weren't set up to accomadate women), holds workshops at festivals.",Article,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Hinsdale_IL_United States,-87.929984,41.8024604
Minneapolis,MN,United States,The Womyn's Braille Press,,Community Organization,"Agreed to organize effort to make tapes (audio) versions of LC for visually impaired lesbians, looking for women willing to read LC and who have audio equipment.",Letter,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Minneapolis_MN_United States,-93.265469,44.9772995
Morelos,,Mexico,OASIS,Patlatonalli,Community Organization,"Bits & Pieces; womyn-only space, lesbian group Patlatonalli also has a space in Guadalajara.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Morelos__Mexico,-99.661688,19.7569142
Prescott,AZ,United States,Lesbian Group,,Community Organization,Bits & Pieces; A 25 women lesbian group.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Prescott_AZ_United States,-112.46876,34.5399962
Oakland,CA,United States,Wilderness Women,,Community Organization,"Bits & Pieces; Grass roots group, outdoor activities and trips, anyone can organize a trip and list it in the newsletter.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Oakland_CA_United States,-122.27136,37.8044557
Boulder,CO,United States,TLC,,Community Organization,"Bits & Pieces; social gorup that orgnizes lectures, talent shows, potlucks, etc.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Boulder_CO_United States,-105.27024,40.0154155
St. Petersburg,FL,United States,The Line,The Gay and Lesbian Information Services,Community Organization,Bits & Pieces; provides information about activities in the Tampa area.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,St. Petersburg_FL_United States,-82.669509,27.7703796
Champaign,IL,United States,The Lesbian Bookworms,,Community Organization,"Bits & Pieces; meets monthly to read, discuss and eat dessert.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Champaign_IL_United States,-88.243093,40.1164841
Iowa City,IA,United States,PLGC (Presbyterians for Lesbian/Gay concerns),,Community Organization,Bits & Pieces; new chapter recently formed. Religous Organization.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Iowa City_IA_United States,-91.529911,41.6612561
New Orleans,LA,United States,Coming Out support group,,Community Organization,Bits & Pieces;,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,New Orleans_LA_United States,-90.078213,29.9759983
New Orleans,LA,United States,Lesbian Choral group,,Community Organization,Bits & Pieces;,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,New Orleans_LA_United States,-90.078213,29.9759983
Kennebunkport,ME,United States,Gay Lesbian Union,,Community Organization,"Bits & Pieces; Newly formed Gay Lesbian Union, meets at Unitarian Church, more information about formation.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Kennebunkport_ME_United States,-70.477295,43.362131
Takoma Park,MD,United States,Takoma Park Lesbians and Gays,,Community Organization,Bits & Pieces; monthly potluck brunches for lesbians and gay men.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Takoma Park_MD_United States,-77.007477,38.9778882
Boston,MA,United States,The Chiltern Mountain Club,Cindy,Community Organization,"Bits & Pieces; New England lesbian and gay mountian club, hiking, skiing, cycling.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Boston_MA_United States,-71.060511,42.3554334
Grand Rapids,MI,United States,Lesbian & Gay Community Network of Western Michigan,,Community Organization,Bits & Pieces; Has a women's night and newsletter.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Grand Rapids_MI_United States,-85.667864,42.9632405
Minneapolis,MN,United States,Out to Brunch,,Community Organization,"Bits & Pieces; 500 member social organization, groups for singles, couples, moms, women of color, age (25s, 30s, 40s, 50s+), Jewish women, sewing circle",Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Minneapolis_MN_United States,-93.265469,44.9772995
Saint Paul,MN,United States,Macalester College Lesbian/Gay Community,,Community Organization,Bits & Pieces;,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Saint Paul_MN_United States,-93.093103,44.9497487
Cullowhee,NC,United States,Mountain Gay & Lesbian Organization (Mtn GLO),,Community Organization,Bits & Pieces; New community support group.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Cullowhee_NC_United States,-83.176581,35.3137739
West Carrollton,OH,United States,Ragtimes,,Community Organization,"Bits & Pieces; support group for lesbians in the Dayton, OH area with monthly meetings",Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,West Carrollton_OH_United States,39.668842,-84.253599
Portland,OR,United States,the Lesbian Community Project,,Community Organization,Bits & Pieces;,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Portland_OR_United States,-122.67419,45.5202471
Dallas,TX,United States,Diane,,Community Organization,Bits & Pieces; Trying to start a lesbian resource center and need input.,Request,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Dallas_TX_United States,-96.796856,32.7762719
Seattle,WA,United States,S,,Community Organization,"Bits & Pieces; A ""new and unusual"" women's club recently opened, hosts a lesbian dance troupe, seattle women's arts and crafts fairs, the Fetish Ball, Seattle's leatherwomen's group and more.",Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Seattle_WA_United States,-122.33006,47.6038321
Tacoma,WA,United States,Tacoma Lesbian Concern,,Community Organization,Bits & Pieces; a social and support group for Lesbians in southern washington,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tacoma_WA_United States,-122.43987,47.2495798
Ellwood City,PA,United States,A Common Bond,,Community organization,Bits & Pieces; Religious Organization; A national support network and newsletter for Jehovah's Witnesses who are gay or lesbian.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ellwood City_PA_United States,-80.286452,40.8617303
Boston,MA,United States,Jewish Lesbian Daughters of Holocaust Survivors,,Community organization,"Semiannual weekend meeting for discussion, support and networking, includes partners.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Boston_MA_United States,-71.060511,42.3554334
Louisa,VA,United States,Federation of Egalitarian Communities,,Community Organization,"Alternative communities across North America, women and men who value equality, ecology and nonviolence.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Louisa_VA_United States,-77.948631,37.9854441
St. Louis,MO,United States,Lesbian Friendship & Dating Network,,Community Organization,Friendship and dating network for women in the the Saint Louis MO/IL area.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,St. Louis_MO_United States,-90.242876,38.6319657
Madison,WI,United States,Groves Women's Co-Op,,Community Organization,Responsible women wanted,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Madison_WI_United States,-89.383761,43.074761
San Francisco,CA,United States,Bay Area Career Women,,Community Organization,Contact and support for professional and career-minded women inteh Bay Area; Proud Sponsor Gay Games II,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=24,San Francisco_CA_United States,-122.41991,37.7790262
St. Petersburg,FL,United States,Women's Energy Bank,,Community Organization,"Not-for-profit organization offering programs, cultural events, resources, olibrary, bi-weekly gathering, special interest webs, monthly newspaper",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=25,St. Petersburg_FL_United States,-82.669509,27.7703796
Washington,DC,United States,Passages Conference on Lesbians and Aging,,Community Organization,"Investigating options for retiring lesbians and intergenerational lesbian community living. Seeking information on lesbian retirement, lists several communities they are aware of.",Letter,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Washington_DC_United States,-77.036543,38.8950368
New York,NY,United States,ALOEC,,Community Organization,"Response to a letter from an Asian lesbian who feels alone in Hawaii, an Indian lesbian living in MA wrote in to share this organization. She also suggest Anamika a magazine for South Asian lesbians.",Letter,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,New York_NY_United States,-74.006015,40.7127281
Ann Arbor,MI,United States,GLOW (Gays and Lesbians Older and Wiser),UM Turner Geriatric Clinic,Community Organization,Monthly support group for lesbians and gay men over 50 that meets at the UM Turner Geriatric Clinic.,Letter,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Ann Arbor_MI_United States,-83.731229,42.2681569
Guadalajara,,Mexico,"Patlatonaili, Adpo",,Community Organization,"Bits & Pieces; active lesbian group, organized gatherings and festivals.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Guadalajara__Mexico,-103.39155,20.672827
Dunedin,,New Zealand,The Lesbian Line,,Community Organization,"Bits & Pieces; Support group, meets weekly.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Dunedin__New Zealand,170.508828,-45.875367
San Francisco,CA,United States,The Lesbian Pregnancy and Parenting Project,,Community Organization,"Bits & Pieces; planning a series of panels on lesbian families, a new mothers support group, childbirth education classes, and parenthood workshops.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,San Francisco_CA_United States,-122.41991,37.7790262
Sheridan,IN,United States,the Running Buddies,,Community Organization,Bits & Pieces; active indianapolis area women's group.,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Sheridan_IN_United States,-86.220275,40.1349677
Northampton,MA,United States,Bound & Determined,,Community Organization,"Bits & Pieces; Lesbian S/M group, emphasis on safe, consensual S/M, B/D, and The Leather Scene.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Northampton_MA_United States,-72.631101,42.3178989
Kansas City,MO,United States,Lavender Umbrella,,Community Organization,Bits & Pieces;,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Kansas City_MO_United States,-94.578142,39.100105
Portland,OR,United States,Lesbian Community Project,,Community Organization,Bits & Pieces;,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Portland_OR_United States,-122.67419,45.5202471
Milwaukee,WI,United States,Grapevine,,Community Organization,Bits & Pieces; Lesbian social group.,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Milwaukee_WI_United States,-87.922497,43.0349931
Tacoma,WA,United States,Tacoma Lesbian Concern,,Community Organization,A support group for lesbians.,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Tacoma_WA_United States,-122.43987,47.2495798
Boston,MA,United States,Jewish Lesbian Daughters of Holocaust Survivors (& Partners),,Community Organization,semi annual gathering for networking and support.,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Boston_MA_United States,-71.060511,42.3554334
Atlanta,GA,United States,Donna,Atlanta Lesbian Feminist Alliance,Community Organization,trying to get lesbian softball teams together into a tournament,Advertisement,Lesbian Connection,1,6,July,1975,https://www.jstor.org/stable/community.28039161?seq=22,Atlanta_GA_United States,-84.390264,33.7489924
Lincoln,NE,United States,Lincoln Legion of Lesbians,,Community Organization,"Tee Corinne 'Sinister Wisdom' poster, lesbian community in Lincoln, NE",Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=21,Lincoln_NE_United States,-96.707775,40.8088861
Portland,ME,United States,New Routes,,Community Organization,"directory of land groups: Trips section; travel retreat; year round outdoor trips for women of all ages, experience, and ability; welcome girl and boy children, nonlesbian women; ""an active group but no land yet""",Directory,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Portland_ME_United States,-70.25486,43.6610277
Minneapolis,MN,United States,"Woodswomen, Inc.",,Community Organization,"directory of land groups: Trips section; travel retreat; outdoor trip organization for women of all ages; welcome new members, girl and boy children, nonlesbian women",Directory,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Minneapolis_MN_United States,-93.265469,44.9772995
Seattle,WA,United States,Sexual Abuse Survivor Support Group,,Community Organization,support group,Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Seattle_WA_United States,-122.33006,47.6038321
St. Louis,MO,United States,Lesbian Friendship & Dating Network,,Community Organization,"for women in greater St Louis, MO/Illinois area",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,St. Louis_MO_United States,-90.242876,38.6319657
Kingston,NY,United States,Sojourner's,,Community Space,women's gathering space every other Saturday; music; performance space; poetry; film,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Kingston_NY_United States,-74.00237,41.9287812
New Hope,PA,United States,Fanny's Teahouse,Chrysalis,Community Space,"fun social evening two Saturdays a month; maybe a regular business?; housed at a place called Chrysalis; for info contact Pat or Susan, or Holly for lesbian counseling",Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,New Hope_PA_United States,-86.394431,34.5370339
Gulfport,MS,United States,the Salad Bar,,Community Space,Bits & Pieces; regular Dyke nights.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Gulfport_MS_United States,-89.092816,30.3674198
Gulfport,MS,United States,Southern Wild Sisters Unlimited,,Community Space,Bits & Pieces; regular movie nights.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Gulfport_MS_United States,-89.092816,30.3674198
Milwaukee,WI,United States,Silver Space,Counseling Center of Milwaukee,Community Space,Bits & Pieces; drop-in discussion group for older lesbians at the Counseling Center of Milwaukee,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Milwaukee_WI_United States,-87.922497,43.0349931
Fayetteville,AR,United States,womyn's monthly potluck/coffeehouse,,Community Space,"Bits & Pieces; Monthly meeting, alcohol/chem free",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Fayetteville_AR_United States,-94.157433,36.0625843
