"publication","year","pub.count","geocode.value","lon","lat","count"
"Bob Damron's Address Book",1981,4690,"Clearlake, CA, United States",-122.6263728,38.9582307,1
"Bob Damron's Address Book",1981,4690,"Clearwater, FL, United States",-82.7958948,27.9655722,2
"Bob Damron's Address Book",1981,4690,"Cleveland, OH, United States",-81.6943605,41.49932,41
"Bob Damron's Address Book",1981,4690,"Cocoa Beach, FL, United States",-80.6075513,28.3200067,3
"Bob Damron's Address Book",1981,4690,"College Park, MD, United States",-76.93776,38.9896967,1
"Bob Damron's Address Book",1981,4690,"Colorado Springs, CO, United States",-104.8213634,38.8338816,10
"Bob Damron's Address Book",1981,4690,"Columbia, MO, United States",-92.3340724,38.9517053,7
"Bob Damron's Address Book",1981,4690,"Columbia, SC, United States",-81.0348144,34.0007104,13
"Bob Damron's Address Book",1981,4690,"Columbus, GA, United States",-84.9877094,32.4609764,11
"Bob Damron's Address Book",1981,4690,"Columbus, MS, United States",-88.4272627,33.4956744,1
"Bob Damron's Address Book",1981,4690,"Columbus, OH, United States",-82.9987942,39.9611755,18
"Bob Damron's Address Book",1981,4690,"Concord, NH, United States",-71.5375718,43.2081366,1
"Bob Damron's Address Book",1981,4690,"Coos Bay-North Bend, OR, United States",-124.2242803,43.4065012,3
"Bob Damron's Address Book",1981,4690,"Corpus Christi, TX, United States",-97.396381,27.8005828,5
"Bob Damron's Address Book",1981,4690,"Corvallis, OR, United States",-123.2620435,44.5645659,2
"Bob Damron's Address Book",1981,4690,"Coshocton, OH, United States",-81.8595756,40.2720151,11
"Bob Damron's Address Book",1981,4690,"Costa Mesa, CA, United States",-117.9047429,33.6638439,4
"Bob Damron's Address Book",1981,4690,"Council Bluffs, IA, United States",-95.8608333,41.2619444,4
"Bob Damron's Address Book",1981,4690,"Covina, CA, United States",-117.8903397,34.0900091,1
"Bob Damron's Address Book",1981,4690,"Covington, KY, United States",-84.5085536,39.0836712,1
"Bob Damron's Address Book",1981,4690,"Cresson, PA, United States",-78.5916837,40.4597938,1
"Bob Damron's Address Book",1981,4690,"Crestwood, IL, United States",-87.7525511,41.6611444,1
"Bob Damron's Address Book",1981,4690,"Culver City, CA, United States",-118.3964665,34.0211224,1
"Bob Damron's Address Book",1981,4690,"Cumberland, MD, United States",-78.7625185,39.6528654,2
"Bob Damron's Address Book",1981,4690,"Cupertino, CA, United States",-122.0321823,37.3229978,3
"Bob Damron's Address Book",1981,4690,"Dalhart, TX, United States",-102.5132497,36.0594772,1
"Bob Damron's Address Book",1981,4690,"Dallas, TX, United States",-96.7969879,32.7766642,51
"Bob Damron's Address Book",1981,4690,"Dania, FL, United States",-80.1439343,26.052311,1
"Bob Damron's Address Book",1981,4690,"Danville, VA, United States",-79.3950228,36.5859718,1
"Bob Damron's Address Book",1981,4690,"Darien, CT, United States",-73.4686858,41.0771914,1
"Bob Damron's Address Book",1981,4690,"Davenport, IA, United States",-90.5776367,41.5236437,3
"Bob Damron's Address Book",1981,4690,"Davis, CA, United States",-121.7405167,38.5449065,3
"Bob Damron's Address Book",1981,4690,"Dayton, OH, United States",-84.1916069,39.7589478,15
"Bob Damron's Address Book",1981,4690,"Daytona Beach, FL, United States",-81.0228331,29.2108147,8
"Bob Damron's Address Book",1981,4690,"Decanso, CA, United States",-116.6140437,32.8584782,1
"Bob Damron's Address Book",1981,4690,"Decatur, AL, United States",-86.9833417,34.6059253,3
"Bob Damron's Address Book",1981,4690,"Decatur, IL, United States",-88.9548001,39.8403147,1
"Bob Damron's Address Book",1981,4690,"Deer Park, NY, United States",NA,NA,1
"Bob Damron's Address Book",1981,4690,"Denver, CO, United States",-104.990251,39.7392358,44
"Bob Damron's Address Book",1981,4690,"Des Moines, IA, United States",-93.6249522,41.5868417,19
"Bob Damron's Address Book",1981,4690,"Des Plaines, IL, United States",-87.8833991,42.0333623,1
"Bob Damron's Address Book",1981,4690,"Detroit Lakes, MN, United States",-95.8453253,46.8171808,5
"Bob Damron's Address Book",1981,4690,"Detroit, MI, United States",-83.0457538,42.331427,50
"Bob Damron's Address Book",1981,4690,"Dillon, SC, United States",-79.3711579,34.4165505,1
"Bob Damron's Address Book",1981,4690,"Dover, NJ, United States",NA,NA,2
"Bob Damron's Address Book",1981,4690,"Durango, CO, United States",-107.8800667,37.27528,4
"Bob Damron's Address Book",1981,4690,"Durham, NC, United States",-78.898619,35.9940329,6
"Bob Damron's Address Book",1981,4690,"Eagle Rock, CA, United States",-118.2140017,34.1391256,1
"Bob Damron's Address Book",1981,4690,"East Meadow, NY, United States",-73.5590157,40.7139898,1
"Bob Damron's Address Book",1981,4690,"East Northport, NY, United States",-73.3245613,40.8767647,1
"Bob Damron's Address Book",1981,4690,"East Orange, NJ, United States",-74.2048677,40.767323,1
"Bob Damron's Address Book",1981,4690,"East St. Louis, IL, United States",-90.1506465,38.624514,4
"Bob Damron's Address Book",1981,4690,"Easthampton, MA, United States",-72.66898,42.266757,1
"Bob Damron's Address Book",1981,4690,"Easton, PA, United States",-75.2207323,40.688432,2
"Bob Damron's Address Book",1981,4690,"Eatontown, NJ, United States",-74.0509725,40.2962222,2
"Bob Damron's Address Book",1981,4690,"Echo Park, CA, United States",-118.2604694,34.0780857,1
