"publication","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",16338,"Brewer, ME, United States",-68.7614246,44.7967378,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Brick Town, NJ, United States",NA,NA,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bridgehampton, NY, United States",-72.3009158,40.9378777,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bridgeport, CT, United States",-73.1894384,41.1792258,12,0.0734484024972457
"Bob Damron's Address Book",16338,"Bridgeport, PA, United States",-75.3451838,40.1051084,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Brinnon, WA, United States",-122.8982142,47.679259,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bristol, TN, United States",-82.1887444,36.5951059,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bristol, VA, United States",-82.1887368,36.595142,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bronx, NY, United States",-73.8648268,40.8447819,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Brookings, SD, United States",-96.7983877,44.3113573,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Brooklyn, MI, United States",-84.2482819,42.105874,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Brooklyn, NY, United States",-73.9441579,40.6781784,31,0.189741706451218
"Bob Damron's Address Book",16338,"Brownsville, TX, United States",-97.4974838,25.9017472,5,0.030603501040519
"Bob Damron's Address Book",16338,"Brunswick, ME, United States",-69.9669961,43.9140162,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Bryte, CA, United States",-121.5416232,38.5946272,5,0.030603501040519
"Bob Damron's Address Book",16338,"Buena Park, CA, United States",-117.9981387,33.8674044,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Buffalo, NY, United States",-78.8783689,42.8864468,81,0.495776716856408
"Bob Damron's Address Book",16338,"Burbank, CA, United States",-118.3089661,34.1808392,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Burlingame, CA, United States",-122.34809,37.5778696,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Burlington, VT, United States",-73.212072,44.4758825,17,0.104051903537765
"Bob Damron's Address Book",16338,"Burtonsville, MD, United States",-76.9324752,39.1112193,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Butler, NJ, United States",-74.3415394,41.0037087,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Butler, PA, United States",-79.8953328,40.8611755,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Butte, MT, United States",-112.5347776,46.0038232,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Caldwell, ID, United States",-116.6873596,43.6629384,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Caliente, CA, United States",-118.6286669,35.2912425,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Calumet City, IL, United States",-87.5294871,41.6155909,19,0.116293303953972
"Bob Damron's Address Book",16338,"Cambridge, MA, United States",-71.1097335,42.3736158,21,0.12853470437018
"Bob Damron's Address Book",16338,"Camden, NJ, United States",NA,NA,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Campbell, CA, United States",-121.9499568,37.2871651,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Campbellsville, KY, United States",-85.3419069,37.3433974,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Canton, OH, United States",-81.378447,40.7989473,25,0.153017505202595
"Bob Damron's Address Book",16338,"Canyon, TX, United States",-101.9188024,34.9803342,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Carbondale, IL, United States",-89.2167501,37.7272727,10,0.0612070020810381
"Bob Damron's Address Book",16338,"Carthegena, OH, United States",-84.5621823,40.4378453,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Casper, WY, United States",-106.2980824,42.848709,10,0.0612070020810381
"Bob Damron's Address Book",16338,"Cathedral City, CA, United States",-116.4668036,33.7805388,9,0.0550863018729343
"Bob Damron's Address Book",16338,"Cedar Rapids, IA, United States",-91.6656232,41.9778795,18,0.110172603745869
"Bob Damron's Address Book",16338,"Center Moriches, NY, United States",-72.7898233,40.8003767,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Central Falls, RI, United States",-71.3922785,41.8906553,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Chambersburg, PA, United States",-77.6611022,39.9375911,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Champaign, IL, United States",-88.2433829,40.1164204,16,0.0979312033296609
"Bob Damron's Address Book",16338,"Chapel Hill, NC, United States",-79.0558445,35.9131996,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Charleston, SC, United States",-79.9319664,32.7833163,30,0.183621006243114
"Bob Damron's Address Book",16338,"Charleston, WV, United States",-81.6326234,38.3498195,23,0.140776104786388
"Bob Damron's Address Book",16338,"Charlestown, WV, United States",NA,NA,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Charlotte Amalie, St. Thomas, VI, United States",-64.93106,18.3418571,18,0.110172603745869
"Bob Damron's Address Book",16338,"Charlotte, NC, United States",-80.8431267,35.2270869,78,0.477414616232097
"Bob Damron's Address Book",16338,"Charlottesville, VA, United States",-78.4766781,38.0293059,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Chattanooga, TN, United States",-85.3093995,35.0457984,36,0.220345207491737
"Bob Damron's Address Book",16338,"Cherokee, IA, United States",-95.5515431,42.7496413,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Cherry Hill, NJ, United States",-75.0246312,39.926813,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Chester, OH, United States",-81.9226372,39.0875777,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Chester, PA, United States",-75.3557457,39.849557,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Cheyenne, WY, United States",-104.8202462,41.1399814,21,0.12853470437018
"Bob Damron's Address Book",16338,"Chicago, IL, United States",-87.6297982,41.8781136,431,2.63802178969274
"Bob Damron's Address Book",16338,"Chico, CA, United States",-121.8374777,39.7284944,10,0.0612070020810381
"Bob Damron's Address Book",16338,"Chicopee, MA, United States",-72.6078672,42.1487043,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Chittenango, NY, United States",-75.86658,43.0450671,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Christiansted, St. Croix, VI, United States",-64.7059208,17.7445481,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Cicero, IL, United States",-87.7539448,41.8455877,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Cincinnati, OH, United States",-84.5120196,39.1031182,86,0.526380217896927
"Bob Damron's Address Book",16338,"Clare, MI, United States",-84.7686281,43.8194703,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Clarksburg, WV, United States",-80.3445341,39.2806451,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Clarksville, TN, United States",-87.3594528,36.5297706,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Clearlake, CA, United States",-122.6263728,38.9582307,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Clearwater, FL, United States",-82.7958948,27.9655722,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Cleveland, OH, United States",-81.6943605,41.49932,135,0.826294528094014
"Bob Damron's Address Book",16338,"Clifton, NJ, United States",-74.1637553,40.8584328,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Cocoa Beach, FL, United States",-80.6075513,28.3200067,9,0.0550863018729343
"Bob Damron's Address Book",16338,"Coconut Grove, FL, United States",NA,NA,3,0.0183621006243114
"Bob Damron's Address Book",16338,"College Park, MD, United States",-76.93776,38.9896967,9,0.0550863018729343
"Bob Damron's Address Book",16338,"College Station, TX, United States",-96.3344068,30.627977,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Colorado Springs, CO, United States",-104.8213634,38.8338816,44,0.269310809156568
"Bob Damron's Address Book",16338,"Columbia, MO, United States",-92.3340724,38.9517053,16,0.0979312033296609
"Bob Damron's Address Book",16338,"Columbia, SC, United States",-81.0348144,34.0007104,39,0.238707308116048
"Bob Damron's Address Book",16338,"Columbus, GA, United States",-84.9877094,32.4609764,25,0.153017505202595
"Bob Damron's Address Book",16338,"Columbus, MS, United States",-88.4272627,33.4956744,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Columbus, OH, United States",-82.9987942,39.9611755,70,0.428449014567267
"Bob Damron's Address Book",16338,"Concord, NH, United States",-71.5375718,43.2081366,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Condado, PR, United States",NA,NA,23,0.140776104786388
"Bob Damron's Address Book",16338,"Coney Island, NY, United States",NA,NA,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Congers, NY, United States",-73.9454159,41.150651,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Conroe, TX, United States",-95.4560512,30.3118769,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Cooperstown, NY, United States",-74.924321,42.7006303,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Coos Bay, OR, United States",-124.2131325,43.3672213,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Coos Bay-North Bend, OR, United States",-124.2242803,43.4065012,5,0.030603501040519
"Bob Damron's Address Book",16338,"Copiague, NY, United States",-73.3998445,40.6814892,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Corpus Christi, TX, United States",-97.396381,27.8005828,22,0.134655404578284
"Bob Damron's Address Book",16338,"Corte Madera, CA, United States",-122.5274755,37.9254806,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Cortland, NY, United States",-76.1804843,42.6011813,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Corvallis, OR, United States",-123.2620435,44.5645659,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Coshocton, OH, United States",-81.8595756,40.2720151,27,0.165258905618803
"Bob Damron's Address Book",16338,"Costa Mesa, CA, United States",-117.9047429,33.6638439,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Cottondale, FL, United States",-85.3765965,30.7971363,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Council Bluffs, IA, United States",-95.8608333,41.2619444,8,0.0489656016648305
"Bob Damron's Address Book",16338,"Covina, CA, United States",-117.8903397,34.0900091,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Covington, KY, United States",-84.5085536,39.0836712,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Cresson, PA, United States",-78.5916837,40.4597938,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Crestwood, IL, United States",-87.7525511,41.6611444,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Culver City, CA, United States",-118.3964665,34.0211224,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Cumberland, MD, United States",-78.7625185,39.6528654,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Cupertino, CA, United States",-122.0321823,37.3229978,8,0.0489656016648305
"Bob Damron's Address Book",16338,"Dalhart, TX, United States",-102.5132497,36.0594772,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Dallas, TX, United States",-96.7969879,32.7766642,173,1.05888113600196
"Bob Damron's Address Book",16338,"Dana Point, CA, United States",-117.6981014,33.4672256,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Danbury, CT, United States",-73.4540111,41.394817,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Dania, FL, United States",-80.1439343,26.052311,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Danville, IL, United States",-87.6300207,40.124481,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Danville, VA, United States",-79.3950228,36.5859718,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Darien, CT, United States",-73.4686858,41.0771914,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Davenport, IA, United States",-90.5776367,41.5236437,15,0.0918105031215571
"Bob Damron's Address Book",16338,"Davis, CA, United States",-121.7405167,38.5449065,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Dayton, OH, United States",-84.1916069,39.7589478,48,0.293793609988983
"Bob Damron's Address Book",16338,"Daytona Beach, FL, United States",-81.0228331,29.2108147,35,0.214224507283633
"Bob Damron's Address Book",16338,"Decanso, CA, United States",-116.6140437,32.8584782,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Decatur, AL, United States",-86.9833417,34.6059253,8,0.0489656016648305
"Bob Damron's Address Book",16338,"Decatur, IL, United States",-88.9548001,39.8403147,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Deer Park, NY, United States",NA,NA,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Denver, CO, United States",-104.990251,39.7392358,180,1.10172603745869
"Bob Damron's Address Book",16338,"Deptford, NJ, United States",-75.1195107,39.8227054,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Des Moines, IA, United States",-93.6249522,41.5868417,47,0.287672909780879
"Bob Damron's Address Book",16338,"Des Plaines, IL, United States",-87.8833991,42.0333623,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Descanso, CA, United States",-116.6140437,32.8584782,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Detroit Lakes, MN, United States",-95.8453253,46.8171808,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Detroit, MI, United States",-83.0457538,42.331427,192,1.17517443995593
"Bob Damron's Address Book",16338,"Dickenson, ND, United States",-102.7896242,46.8791756,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Dillon, SC, United States",-79.3711579,34.4165505,4,0.0244828008324152
