"publication","year","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",1975,2341,"Columbia, SC, United States",-81.0348144,34.0007104,6,0.256300726185391
"Bob Damron's Address Book",1975,2341,"Columbus, GA, United States",-84.9877094,32.4609764,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Columbus, MS, United States",-88.4272627,33.4956744,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Columbus, OH, United States",-82.9987942,39.9611755,7,0.299017513882956
"Bob Damron's Address Book",1975,2341,"Condado, PR, United States",NA,NA,13,0.555318240068347
"Bob Damron's Address Book",1975,2341,"Coney Island, NY, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Congers, NY, United States",-73.9454159,41.150651,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Conroe, TX, United States",-95.4560512,30.3118769,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Corpus Christi, TX, United States",-97.396381,27.8005828,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Covington, KY, United States",-84.5085536,39.0836712,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Cresson, PA, United States",-78.5916837,40.4597938,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Crestwood, IL, United States",-87.7525511,41.6611444,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Culver City, CA, United States",-118.3964665,34.0211224,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Cumberland, MD, United States",-78.7625185,39.6528654,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Dallas, TX, United States",-96.7969879,32.7766642,23,0.982486117043998
"Bob Damron's Address Book",1975,2341,"Danbury, CT, United States",-73.4540111,41.394817,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Danville, IL, United States",-87.6300207,40.124481,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Danville, VA, United States",-79.3950228,36.5859718,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Dayton, OH, United States",-84.1916069,39.7589478,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Daytona Beach, FL, United States",-81.0228331,29.2108147,7,0.299017513882956
"Bob Damron's Address Book",1975,2341,"Decatur, AL, United States",-86.9833417,34.6059253,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Denver, CO, United States",-104.990251,39.7392358,38,1.62323793250748
"Bob Damron's Address Book",1975,2341,"Des Moines, IA, United States",-93.6249522,41.5868417,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Detroit, MI, United States",-83.0457538,42.331427,40,1.70867150790261
"Bob Damron's Address Book",1975,2341,"Dickenson, ND, United States",-102.7896242,46.8791756,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Dillon, SC, United States",-79.3711579,34.4165505,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Dixmore, IL, United States",-87.6609098,41.6298973,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Dothan, AL, United States",-85.3904888,31.2232313,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Duarte, CA, United States",-117.9772873,34.1394513,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Duluth, MN, United States",-92.1004852,46.7866719,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Duncansville, PA, United States",-78.433903,40.4234058,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Dunkirk, NY, United States",-79.3339324,42.4795019,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Durham, NC, United States",-78.898619,35.9940329,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"East Hampton, NY, United States",NA,NA,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"East Islip, NY, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"East St Louis, IL, United States",-90.1506465,38.624514,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Easton, PA, United States",-75.2207323,40.688432,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Eastport, MD, United States",-76.4813371,38.9703471,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"El Monte, CA, United States",-118.0275667,34.0686206,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"El Paso, TX, United States",-106.4850217,31.7618778,7,0.299017513882956
"Bob Damron's Address Book",1975,2341,"Elizabeth, NJ, United States",-74.2107006,40.6639916,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Elmira, NY, United States",-76.8077338,42.0897965,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Erie, PA, United States",-80.085059,42.1292241,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Eugene, OR, United States",-123.0867536,44.0520691,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Evansville, IN, United States",-87.5710898,37.9715592,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Everett, WA, United States",-122.2020794,47.9789848,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Fairbanks, AK, United States",-147.7199756,64.8400511,2,0.0854335753951303
