"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Charlotte, NC",175,0.398524321370013,48
"Bob Damron's Address Book","Charlottesville, VA",11,0.0250501002004008,150
"Bob Damron's Address Book","Charlottsville, VA",2,0.00455456367280015,159
"Bob Damron's Address Book","Chattanooga, TN",78,0.177627983239206,85
"Bob Damron's Address Book","Chelan, WA",1,0.00227728183640007,160
"Bob Damron's Address Book","Chelsea, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Cherokee, IA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cherry Hill, NJ",7,0.0159409728548005,154
"Bob Damron's Address Book","Chester, OH",1,0.00227728183640007,160
"Bob Damron's Address Book","Chester, PA",3,0.00683184550920022,158
"Bob Damron's Address Book","Chesterton, IN",1,0.00227728183640007,160
"Bob Damron's Address Book","Cheyenne, WY",40,0.0910912734560029,121
"Bob Damron's Address Book","Chicago, IL",993,2.26134086354527,2
"Bob Damron's Address Book","Chicago- Near North Side, IL",4,0.00910912734560029,157
"Bob Damron's Address Book","Chicago- New Town, IL",4,0.00910912734560029,157
"Bob Damron's Address Book","Chicago-North Side, IL",4,0.00910912734560029,157
"Bob Damron's Address Book","Chicago-South Side, IL",10,0.0227728183640007,151
"Bob Damron's Address Book","Chico, CA",24,0.0546547640736018,137
"Bob Damron's Address Book","Chicopee, MA",1,0.00227728183640007,160
"Bob Damron's Address Book","Chillicothe, OH",2,0.00455456367280015,159
"Bob Damron's Address Book","Chittenango, NY",2,0.00455456367280015,159
"Bob Damron's Address Book","Chocorua, NH",1,0.00227728183640007,160
"Bob Damron's Address Book","Christiansted, St. Croix, VI",7,0.0159409728548005,154
"Bob Damron's Address Book","Christiansted, VI",2,0.00455456367280015,159
"Bob Damron's Address Book","Chula Vista, CA",2,0.00455456367280015,159
"Bob Damron's Address Book","Cicero, IL",1,0.00227728183640007,160
"Bob Damron's Address Book","Cincinnati, OH",208,0.473674621971215,38
"Bob Damron's Address Book","Clare, MI",5,0.0113864091820004,156
"Bob Damron's Address Book","Claremore, OK",2,0.00455456367280015,159
"Bob Damron's Address Book","Clarksburg, WV",5,0.0113864091820004,156
"Bob Damron's Address Book","Clarksville, TN",14,0.031881945709601,147
"Bob Damron's Address Book","Clear Lake, CA",38,0.0865367097832028,123
"Bob Damron's Address Book","Clearlake, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Clearwater, FL",33,0.0751503006012024,128
"Bob Damron's Address Book","Cleveland Heights, OH",1,0.00227728183640007,160
"Bob Damron's Address Book","Cleveland, OH",326,0.742393878666424,26
"Bob Damron's Address Book","Clifton Park, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Clifton, NJ",2,0.00455456367280015,159
"Bob Damron's Address Book","Clinton, IA",5,0.0113864091820004,156
"Bob Damron's Address Book","Clovis, NM",8,0.0182182546912006,153
