"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Palm Springs, CA",33.8302961,-116.5452921,0.699619771863118,0.27476607752859,2.5462377967321,0.39273629559793,2.5462377967321,0.934616895904134
"Redondo Beach, CA",33.8491816,-118.3884078,0.0836501901140684,0.0371305510173771,2.25286692015209,0.443878859889554,2.25286692015209,0.812203591863585
"Houston, TX",29.7604267,-95.3698028,1.68821292775665,0.750037130551017,2.25083913714565,0.44427875075432,2.25083913714565,0.811303096530334
"Fire Island, NY",40.6475997,-73.1459474,0.330798479087452,0.148522204069508,2.22726615969582,0.448980915750352,2.22726615969582,0.800774896039964
"Detroit, MI",42.331427,-83.0457538,1.36501901140684,0.623793257091935,2.18825547709578,0.45698503235426,2.18825547709578,0.783104640584333
"Miami Beach, FL",25.790654,-80.1300455,0.273764258555133,0.126243873459082,2.16853500335496,0.461140815551925,2.16853500335496,0.77405182589921
"Fayetteville, NC",35.0523673,-78.8783774,0.0950570342205323,0.0445566612208525,2.13339670468948,0.468736076043368,2.13339670468948,0.757715406579516
"Reading, PA",40.3356483,-75.9268747,0.0950570342205323,0.0445566612208525,2.13339670468948,0.468736076043368,2.13339670468948,0.757715406579516
"San Antonio, TX",29.4251905,-98.4945922,0.695817490494297,0.326748848952919,2.12951780159004,0.469589875817583,2.12951780159004,0.755895569862529
"Modesto, CA",37.6392595,-120.9970014,0.110266159695817,0.0519827714243279,2.12120586637696,0.471429961537872,2.12120586637696,0.751984731870527
"Waikiki, HI",21.2793462,-157.8291847,0.121673003802281,0.0594088816278034,2.04806083650189,0.488266745878511,2.04806083650189,0.716893412059257
"Key West, FL",24.5550593,-81.7799871,1.2319391634981,0.631219367295411,1.95168150301946,0.512378683946583,1.95168150301946,0.668691310241384
"Savannah, GA",32.0808989,-81.091203,0.144486692015209,0.0742611020347542,1.9456577946768,0.513964995661589,1.9456577946768,0.66560011767171
"Galveston, TX",29.3013479,-94.7976958,0.201520912547529,0.103965542848656,1.9383432916893,0.515904486211254,1.9383432916893,0.661833634876235
"Los Angeles, CA",34.0549076,-118.242643,5.04562737642586,2.61399079162335,1.93023915485655,0.518070518611108,1.93023915485655,0.657643909673481
"Fort Lauderdale, FL",26.1224386,-80.1373174,1.24714828897338,0.660923808109312,1.8869773999231,0.529948053453505,1.8869773999231,0.634976289591372
"Charleston, WV",38.3498195,-81.6326234,0.125475285171103,0.0668349918312788,1.87738910012675,0.532654631867463,1.87738910012675,0.629882035069633
"Great Falls, MT",47.5052849,-111.3007715,0.0836501901140684,0.0445566612208525,1.87738910012674,0.532654631867464,1.87738910012674,0.629882035069631
"Saugatuck, MI",42.6550248,-86.2019825,0.121673003802281,0.0668349918312788,1.82049852133502,0.549300089113324,1.82049852133502,0.599110376402874
"Atlantic City, NJ",39.3642834,-74.4229266,0.551330798479087,0.311896628545968,1.76767155531414,0.565715953845446,1.76767155531414,0.569663175076574
"Tulsa, OK",36.1539816,-95.992775,0.403041825095057,0.230209416307738,1.75076168281614,0.571179966876746,1.75076168281614,0.560050940566291
"El Paso, TX",31.7618778,-106.4850217,0.349809885931559,0.207931085697312,1.68233568712656,0.594411690634707,1.68233568712656,0.520183117813206
"Las Vegas, NV",36.171563,-115.1391009,0.47148288973384,0.282192187732066,1.67078647188313,0.598520527205915,1.67078647188313,0.513294456818021
"Binghamton, NY",42.0986867,-75.9179738,0.133079847908745,0.222783306104263,0.597351077313052,1.67405741444061,0.597351077313052,-0.515250269233375
"New Haven, CT",41.308274,-72.9278835,0.197718631178707,0.334174959156394,0.591662019433882,1.69015412034869,0.591662019433882,-0.524819720249524
"Kansas City, KS",39.1155314,-94.6267873,0.0722433460076046,0.126243873459082,0.572252292552003,1.7474809852494,0.572252292552003,-0.558175313950404
"Wichita, KS",37.6871761,-97.330053,0.190114068441065,0.334174959156394,0.568905787917196,1.75776028516263,0.568905787917196,-0.564040433402802
"Flint, MI",43.0125274,-83.6874562,0.0798479087452472,0.141096093866033,0.565911546928157,1.76706060413175,0.565911546928157,-0.569317490503647
"Boise, ID",43.6150186,-116.2023137,0.0836501901140684,0.148522204069508,0.563216730038024,1.77551543955821,0.563216730038024,-0.574090769256303
"Austin, TX",30.267153,-97.7430608,0.334600760456274,0.594088816278034,0.563216730038023,1.77551543955821,0.563216730038023,-0.574090769256305
"Springfield, OH",39.9242266,-83.8088171,0.0456273764258555,0.0816872122382296,0.5585620463187,1.79031140155453,0.5585620463187,-0.582389572071
"Oakland, CA",37.8043514,-122.2711639,0.334600760456274,0.601514926481509,0.556263437074591,1.79770938255269,0.556263437074591,-0.586513289254861
