type_clean,n
"info lines and services,accommodations",2
information and emergency services,5
information and victim-emergency services,5
information services,113
inn,5
insurance,3
introduction services,4
jewelry,6
jewelry/crafts,7
land trust,6
lawyer,4
legal aid,2
lesbian / gay bookstore,4
lesbian / gay community center,3
lesbian aa,2
lesbian bookstore,2
lesbian center,7
lesbian group,13
lesbian land,2
lesbian library,2
lesbian mothers,8
lesbian organization,3
lesbian photographers,2
lesbian social club,3
lesbian social group,5
lesbian space,2
library,7
lodge,5
magazine,5
mail order,5
martial arts,7
massage,3
medical practitioners,2
medical practitioners--including alternative,14
men's clubs,918
men's services,1168
metaphysical bookstore,3
motel,20
motel/bars,5
motels,23
music,2
music festival,2
music producers and promoters,3
music production,2
n.o.w.,25
newsletter,3
newspaper,32
nightclubs,2878
"nightclubs,cruisy areas",3
now,8
occult,2
occult services,3
occult shop,6
occult supplies,3
"occult, astrology",2
occult/astrology,3
older lesbian groups,4
open house,4
organisation and services,35
organization,566
organization and service,111
organization and services,12
"organization,hotline",2
"organization,hotlines",2
"organization,religious institution",3
organization/groups,2
organizations,316
organizations and groups,3
organizations and groups - including special interests,3
organizations and services,8
"organizations,bars/clubs",2
"organizations,hotel",3
organizations. etc.,9
organizations/coffehouse,2
other bars--mostly gay men and mixed clientel,8
other bookshops / videos,2
other bookstores,2
other centers,2
other guest houses,2
other lesbian special interest groups,2
other services,2
outdoor group,7
outdoor trips,2
pamphlet and periodoical outlet,2
personal contact club,2
personal contacts/housing,3
pier,4
political group,12
political/legislative,2
printers,4
printing,5
printing/graphics,6
private club,2
private healthcare,3
private parties,2
production company,5
professional association,3
progressive bookstore,2
public relations,2
publication,732
"publication,book store",8
publications,2858
"publications,organization",3
publications/bar guides,3
radio and television,21
radio and television programs,5
radio program,45
radio program and television,2
radio programs,7
ranch,2
rape crisis,2
real estate agent,2
record shop,3
records/music,2
recreational retreat,2
religious,4
religious group,22
religious groups,500
religious groups and helpline,3
religious groups and organizations,2
religious institution,1459
"religious institution,community center/ support group",2
"religious institution,community center/support group",7
"religious institution,hotline",3
religious organization,391
religious organizations,1140
resort,25
resort and bar,3
resort/hotel,3
resort/rental cottages,4
resorts,22
resorts/hotels/guest houses,5
resources and references,4
restaurant,8813
"restaurant,bars/clubs",1009
"restaurant,bars/clubs,bathhouses",2
"restaurant,bars/clubs,cruising areas",41
"restaurant,bars/clubs,hotel",32
"restaurant,bars/clubs,theatre",3
"restaurant,book store",12
"restaurant,business",7
"restaurant,cruising areas",128
"restaurant,cruising areas,bars/clubs",3
"restaurant,hotel",170
"restaurant,hotel,bars/clubs",24
"restaurant,hotel,bars/clubs,cruising areas",2
"restaurant,hotel,cruising areas",2
"restaurant,hotel,travel service",2
"restaurant,hotels",4
"restaurant,theatre",6
restaurant/bar,13
restaurants,6749
restaurants and cafes,4325
"restaurants and cafes,book stores or retail shops",2
"restaurants and cafes,cruising areas",3
restaurants/supper clubs,2
retail shops,1256
retreat,20
room mate service,6
rooming house,3
roommate matching services,2
roommate service,8
rural communities,3
salon tea,2
sauna,2
sea charters,2
secretarial typing services,3
self defense,5
self-defense school,2
service,92
services,267
sex clubs,25
sex shops,2
sexual boutique,9
sexuality boutique,5
sexuality boutiques,4
show bar,18
show bars,7
show-bar,17
show-bars,49
showbar,23
showbars,21
social club,6
social event,2
social group,2
social groups,4
spa,6
special interest groups,139
special interests,3
spiritual groups,810
spirituality center,2
sports,4
store,7
student group,4
surfing lessons,2
swimming pool/bar,2
switchboard,19
switchboard services,3
switchboards,10
switchboards / hotlines / crises lines,6
taxi cabs,9
tea dance,2
tea room/restaurant,2
tea-room,2
theater,3
theater and music events,2
theater/art,6
