"type","count"
"Counselling / Health / Clinics / Medical Treatment",9
"Counselling And Therapy",2
"Counselling Institute",2
"Counselling/Health",1
"Counselling/Therapy",23
"Counselors / Therapists / Psychologists, etc.",2
"Country B&B",1
"Country Club",7
"Country Trips",1
"Craft Market",1
"Crafts Shop and Gallery",1
"Cruising Areas",25909
"Cruising Areas,Accommodations",1
"Cruising Areas,Bars",2
"Cruising Areas,Bars/Clubs",438
"Cruising Areas,Bars/Clubs,Hotel",10
"Cruising Areas,Bars/Clubs,Hotel,Restaurant",1
"Cruising Areas,Bars/Clubs,Restaurant",12
"Cruising Areas,Bathhouses",18
"Cruising Areas,Bathhouses,Bars/Clubs,Hotel",1
"Cruising Areas,Baths",5
"Cruising Areas,Book Store",264
"Cruising Areas,Book Store,Bars/Clubs",1
"Cruising Areas,Book Store,Business",4
"Cruising Areas,Book Store,Erotic Shop",51
"Cruising Areas,Book Store,Theatre",4
"Cruising Areas,Business",16
"Cruising Areas,Business,Erotic Shop,Restaurant,Bars/Clubs",1
"Cruising Areas,Campground",1
"Cruising Areas,Community Center/Support Group",2
"Cruising Areas,Erotic Shop",25
"Cruising Areas,Erotic Shop,Book Store",17
"Cruising Areas,Erotic Shop,Restaurant,Book Store",1
"Cruising Areas,Erotica",1
"Cruising Areas,Gym",10
"Cruising Areas,Hotel",189
"Cruising Areas,Hotel,Bars/Clubs",8
"Cruising Areas,Hotel,Gym",5
"Cruising Areas,Hotel,Restaurant",1
"Cruising Areas,Hotels",1
"Cruising Areas,Hotlines",1
"Cruising Areas,Organizations",62
"Cruising Areas,Organizations,Hotel",2
"Cruising Areas,Publications",1
"Cruising Areas,Religious Institution",3
"Cruising Areas,Restaurant",111
"Cruising Areas,Restaurant,Bars/Clubs",10
"Cruising Areas,Restaurant,Hotel",2
"Cruising Areas,Theatre",207
"Cruising Areas,Theatre,Book Store",4
"Cruising Areas,Theatre,Erotic Shop,Book Store",1
"Cruising Areas,Travel Service",1
"Cruisy Areas",4730
